run_name,augmentations,val_acc_mean,notes,val_loss_mean,val_loss_std,best_epoch_mean,ckpt_path,cm_path,lr,batch_size,epochs,optimizer,weight_decay,early_stop_patience,k_folds
aug_0,hflip+rotate+translate,0.9203137254901961,,0.2486393108674018,0.12348216242792555,19.0,experiments\session_20250730_063515\aug_0\ckpt\SimpleCNN\best_model_fold3.pth,experiments\session_20250730_063515\aug_0\confusion_matrix.png,0.001,16,30,adam,0.0,5,5
aug_1,hflip+rotate+translate+noise,0.936156862745098,,0.2173345098460616,0.1877676953483485,14.4,experiments\session_20250730_063515\aug_1\ckpt\SimpleCNN\best_model_fold3.pth,experiments\session_20250730_063515\aug_1\confusion_matrix.png,0.001,16,30,adam,0.0,5,5
aug_2,hflip+rotate+translate+brightness_contrast,0.9203137254901961,,0.2577808559121491,0.1744252821350538,13.8,experiments\session_20250730_063515\aug_2\ckpt\SimpleCNN\best_model_fold3.pth,experiments\session_20250730_063515\aug_2\confusion_matrix.png,0.001,16,30,adam,0.0,5,5
aug_3,hflip+rotate+translate+clahe,0.9283921568627452,,0.23300176506367834,0.11756050713009783,19.6,experiments\session_20250730_063515\aug_3\ckpt\SimpleCNN\best_model_fold3.pth,experiments\session_20250730_063515\aug_3\confusion_matrix.png,0.001,16,30,adam,0.0,5,5
aug_4,hflip+rotate+translate+noise+brightness_contrast+clahe,0.9481568627450981,,0.1872783772725693,0.10981277225912595,16.0,experiments\session_20250730_063515\aug_4\ckpt\SimpleCNN\best_model_fold3.pth,experiments\session_20250730_063515\aug_4\confusion_matrix.png,0.001,16,30,adam,0.0,5,5
